Trace,VG,ID
VDS,0.025,0.025
0,+0.000000E+000,+2.200000E-013
1,+1.000000E-002,+3.500000E-013
2,+2.000000E-002,-2.200000E-013
3,+3.000000E-002,+5.900000E-013
4,+4.000000E-002,-7.700000E-013
5,+5.000000E-002,-1.600000E-013
6,+6.000000E-002,+1.400000E-013
7,+7.000000E-002,-3.400000E-013
8,+8.000000E-002,-3.600000E-013
9,+9.000000E-002,+7.000000E-014
10,+1.000000E-001,-1.700000E-013
11,+1.100000E-001,-7.200000E-013
12,+1.200000E-001,-7.800000E-013
13,+1.300000E-001,-1.500000E-013
14,+1.400000E-001,-7.000000E-014
15,+1.500000E-001,-1.500000E-013
16,+1.600000E-001,-3.600000E-013
17,+1.700000E-001,-8.200000E-013
18,+1.800000E-001,-7.000000E-013
19,+1.900000E-001,-4.600000E-013
20,+2.000000E-001,-4.200000E-013
21,+2.100000E-001,-7.000000E-013
22,+2.200000E-001,-5.300000E-013
23,+2.300000E-001,-6.000000E-013
24,+2.400000E-001,-5.400000E-013
25,+2.500000E-001,-6.100000E-013
26,+2.600000E-001,-5.300000E-013
27,+2.700000E-001,-5.300000E-013
28,+2.800000E-001,-5.400000E-013
29,+2.900000E-001,-6.200000E-013
30,+3.000000E-001,-5.700000E-013
31,+3.100000E-001,-6.200000E-013
32,+3.200000E-001,-6.600000E-013
33,+3.300000E-001,-8.200000E-013
34,+3.400000E-001,-7.400000E-013
35,+3.500000E-001,-6.800000E-013
36,+3.600000E-001,-8.300000E-013
37,+3.700000E-001,-8.000000E-013
38,+3.800000E-001,-7.600000E-013
39,+3.900000E-001,-8.600000E-013
40,+4.000000E-001,-8.300000E-013
41,+4.100000E-001,-1.300000E-013
42,+4.200000E-001,-1.040000E-012
43,+4.300000E-001,-9.100000E-013
44,+4.400000E-001,-8.400000E-013
45,+4.500000E-001,-6.600000E-013
46,+4.600000E-001,-1.070000E-012
47,+4.700000E-001,-1.110000E-012
48,+4.800000E-001,-3.700000E-013
49,+4.900000E-001,-2.400000E-013
50,+5.000000E-001,+4.600000E-013
51,+5.100000E-001,+4.640000E-012
52,+5.200000E-001,+1.386000E-011
53,+5.300000E-001,+3.721000E-011
54,+5.400000E-001,+1.016100E-010
55,+5.500000E-001,+2.674500E-010
56,+5.600000E-001,+6.765400E-010
57,+5.700000E-001,+1.559750E-009
58,+5.800000E-001,+3.024260E-009
59,+5.900000E-001,+5.783420E-009
60,+6.000000E-001,+1.028122E-008
61,+6.100000E-001,+1.747510E-008
62,+6.200000E-001,+2.835100E-008
63,+6.300000E-001,+4.328640E-008
64,+6.400000E-001,+6.304020E-008
65,+6.500000E-001,+8.875250E-008
66,+6.600000E-001,+1.215980E-007
67,+6.700000E-001,+1.638950E-007
68,+6.800000E-001,+2.180640E-007
69,+6.900000E-001,+2.859070E-007
70,+7.000000E-001,+3.747570E-007
71,+7.100000E-001,+4.821240E-007
72,+7.200000E-001,+6.111650E-007
73,+7.300000E-001,+7.673270E-007
74,+7.400000E-001,+9.540910E-007
75,+7.500000E-001,+1.175500E-006
76,+7.600000E-001,+1.439910E-006
