Trace,VG,ID
VDS,0.025,0.025
0,+0.000000E+000,+5.030000E-012
1,+1.000000E-002,+5.590000E-012
2,+2.000000E-002,+6.190000E-012
3,+3.000000E-002,+7.940000E-012
4,+4.000000E-002,+9.700000E-012
5,+5.000000E-002,+1.266000E-011
6,+6.000000E-002,+1.629000E-011
7,+7.000000E-002,+2.100000E-011
8,+8.000000E-002,+2.675000E-011
9,+9.000000E-002,+3.487000E-011
10,+1.000000E-001,+4.544000E-011
11,+1.100000E-001,+5.805000E-011
12,+1.200000E-001,+7.495000E-011
13,+1.300000E-001,+9.597000E-011
14,+1.400000E-001,+1.247700E-010
15,+1.500000E-001,+1.626400E-010
16,+1.600000E-001,+2.038800E-010
17,+1.700000E-001,+2.602400E-010
18,+1.800000E-001,+3.316900E-010
19,+1.900000E-001,+4.248600E-010
20,+2.000000E-001,+5.406700E-010
21,+2.100000E-001,+6.899600E-010
22,+2.200000E-001,+8.726000E-010
23,+2.300000E-001,+1.098430E-009
24,+2.400000E-001,+1.406780E-009
25,+2.500000E-001,+1.777290E-009
26,+2.600000E-001,+2.232400E-009
27,+2.700000E-001,+2.811710E-009
28,+2.800000E-001,+3.555550E-009
29,+2.900000E-001,+4.364790E-009
30,+3.000000E-001,+5.527690E-009
31,+3.100000E-001,+6.959240E-009
32,+3.200000E-001,+8.786210E-009
33,+3.300000E-001,+1.104244E-008
34,+3.400000E-001,+1.388040E-008
35,+3.500000E-001,+1.739440E-008
36,+3.600000E-001,+2.156240E-008
37,+3.700000E-001,+2.694190E-008
38,+3.800000E-001,+3.328700E-008
39,+3.900000E-001,+4.119860E-008
40,+4.000000E-001,+5.039870E-008
41,+4.100000E-001,+6.185480E-008
42,+4.200000E-001,+7.561110E-008
43,+4.300000E-001,+8.836010E-008
44,+4.400000E-001,+1.114488E-007
45,+4.500000E-001,+1.311080E-007
46,+4.600000E-001,+1.584210E-007
47,+4.700000E-001,+1.958130E-007
48,+4.800000E-001,+2.412640E-007
49,+4.900000E-001,+2.839790E-007
50,+5.000000E-001,+3.417620E-007
51,+5.100000E-001,+4.193190E-007
52,+5.200000E-001,+4.942310E-007
53,+5.300000E-001,+5.886630E-007
54,+5.400000E-001,+6.963950E-007
55,+5.500000E-001,+8.178000E-007
56,+5.600000E-001,+9.552360E-007
57,+5.700000E-001,+1.110635E-006
58,+5.800000E-001,+1.282060E-006
59,+5.900000E-001,+1.479320E-006
60,+6.000000E-001,+1.685090E-006
61,+6.100000E-001,+1.921670E-006
62,+6.200000E-001,+2.175690E-006
63,+6.300000E-001,+2.447630E-006
64,+6.400000E-001,+2.745060E-006
65,+6.500000E-001,+3.070930E-006
66,+6.600000E-001,+3.396310E-006
67,+6.700000E-001,+3.764840E-006
68,+6.800000E-001,+4.141390E-006
69,+6.900000E-001,+4.543150E-006
70,+7.000000E-001,+4.962620E-006
71,+7.100000E-001,+5.411000E-006
72,+7.200000E-001,+5.867820E-006
73,+7.300000E-001,+6.349360E-006
74,+7.400000E-001,+6.833560E-006
75,+7.500000E-001,+7.345060E-006
76,+7.600000E-001,+7.875750E-006
77,+7.700000E-001,+8.428910E-006
78,+7.800000E-001,+8.979860E-006
79,+7.900000E-001,+9.553470E-006
80,+8.000000E-001,+1.014193E-005
81,+8.100000E-001,+1.073690E-005
82,+8.200000E-001,+1.136045E-005
83,+8.300000E-001,+1.198140E-005
84,+8.400000E-001,+1.262540E-005
